participant_ID,group,scenario,condition,dialekt,generated_url
T11,g1,s2,c2,Rikssvenska (c2),https://docs.google.com/forms/d/e/1FAIpQLSf5_hNsMftKenMnUUcI3mRPFpqT-oS5p2fYG2uPBCjnYJKW3w/viewform?usp=pp_url&entry.487853435=T11&entry.452918499=g1&entry.2030388060=s2&entry.589748738=c2
T11,g1,s3,c3,Skånska (c3),https://docs.google.com/forms/d/e/1FAIpQLSf5_hNsMftKenMnUUcI3mRPFpqT-oS5p2fYG2uPBCjnYJKW3w/viewform?usp=pp_url&entry.487853435=T11&entry.452918499=g1&entry.2030388060=s3&entry.589748738=c3
T12,g1,s1,c1,TTS (c1),https://docs.google.com/forms/d/e/1FAIpQLSf5_hNsMftKenMnUUcI3mRPFpqT-oS5p2fYG2uPBCjnYJKW3w/viewform?usp=pp_url&entry.487853435=T12&entry.452918499=g1&entry.2030388060=s1&entry.589748738=c1
T12,g1,s2,c2,Rikssvenska (c2),https://docs.google.com/forms/d/e/1FAIpQLSf5_hNsMftKenMnUUcI3mRPFpqT-oS5p2fYG2uPBCjnYJKW3w/viewform?usp=pp_url&entry.487853435=T12&entry.452918499=g1&entry.2030388060=s2&entry.589748738=c2
T12,g1,s3,c3,Skånska (c3),https://docs.google.com/forms/d/e/1FAIpQLSf5_hNsMftKenMnUUcI3mRPFpqT-oS5p2fYG2uPBCjnYJKW3w/viewform?usp=pp_url&entry.487853435=T12&entry.452918499=g1&entry.2030388060=s3&entry.589748738=c3
T13,g2,s1,c3,Skånska (c3),https://docs.google.com/forms/d/e/1FAIpQLSf5_hNsMftKenMnUUcI3mRPFpqT-oS5p2fYG2uPBCjnYJKW3w/viewform?usp=pp_url&entry.487853435=T13&entry.452918499=g2&entry.2030388060=s1&entry.589748738=c3
T13,g2,s2,c1,TTS (c1),https://docs.google.com/forms/d/e/1FAIpQLSf5_hNsMftKenMnUUcI3mRPFpqT-oS5p2fYG2uPBCjnYJKW3w/viewform?usp=pp_url&entry.487853435=T13&entry.452918499=g2&entry.2030388060=s2&entry.589748738=c1
T13,g2,s3,c2,Rikssvenska (c2),https://docs.google.com/forms/d/e/1FAIpQLSf5_hNsMftKenMnUUcI3mRPFpqT-oS5p2fYG2uPBCjnYJKW3w/viewform?usp=pp_url&entry.487853435=T13&entry.452918499=g2&entry.2030388060=s3&entry.589748738=c2
T14,g2,s1,c3,Skånska (c3),https://docs.google.com/forms/d/e/1FAIpQLSf5_hNsMftKenMnUUcI3mRPFpqT-oS5p2fYG2uPBCjnYJKW3w/viewform?usp=pp_url&entry.487853435=T14&entry.452918499=g2&entry.2030388060=s1&entry.589748738=c3
T14,g2,s2,c1,TTS (c1),https://docs.google.com/forms/d/e/1FAIpQLSf5_hNsMftKenMnUUcI3mRPFpqT-oS5p2fYG2uPBCjnYJKW3w/viewform?usp=pp_url&entry.487853435=T14&entry.452918499=g2&entry.2030388060=s2&entry.589748738=c1
T14,g2,s3,c2,Rikssvenska (c2),https://docs.google.com/forms/d/e/1FAIpQLSf5_hNsMftKenMnUUcI3mRPFpqT-oS5p2fYG2uPBCjnYJKW3w/viewform?usp=pp_url&entry.487853435=T14&entry.452918499=g2&entry.2030388060=s3&entry.589748738=c2
T15,g2,s1,c3,Skånska (c3),https://docs.google.com/forms/d/e/1FAIpQLSf5_hNsMftKenMnUUcI3mRPFpqT-oS5p2fYG2uPBCjnYJKW3w/viewform?usp=pp_url&entry.487853435=T15&entry.452918499=g2&entry.2030388060=s1&entry.589748738=c3
